funcion_entrenamiento,n_neurons,avg_c,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,tiempo_entrenamiento
trainbfg,1,0.0741666666666667,0,0,166,0,0,368,0,0,6666,0.8015625
trainbfg,2,0.0677638888888889,56.5,4.3,105.2,6.4,6.1,355.5,11.4,5.1,6649.5,0.7734375
trainbfg,3,0.0725555555555556,15.1,0,150.9,2.4,0,365.6,3.5,0,6662.5,0.8796875
trainbfg,4,0.0599861111111111,94.3,10,61.7,16.7,35.3,316,14.2,13.3,6638.5,1.3984375
trainbfg,5,0.0575138888888889,106.3,9.7,50,18.5,44,305.5,15.3,15.1,6635.6,2.4796875
trainbfg,6,0.0624027777777778,90.7,11.6,63.7,9.3,18.9,339.8,12.5,12.4,6641.1,1.7015625
trainbfg,7,0.0566805555555556,95.2,9.7,61.1,22.8,62.9,282.3,15,17.2,6633.8,2.4984375
trainbfg,8,0.04725,110.1,12.8,43.1,23.8,117.7,226.5,15,19,6632,3.678125
trainbfg,9,0.0510416666666667,108.2,28,29.8,17.2,101,249.8,13.8,28.9,6623.3,4.34375
trainbfg,10,0.0525416666666667,135.7,11.9,18.4,16.6,54.5,296.9,17.7,16.8,6631.5,4.0234375
trainbfg,11,0.0452777777777778,135.1,15.7,15.2,12.4,110.8,244.8,19.9,18,6628.1,5.84375
trainbfg,12,0.0541805555555556,117.2,19.8,29,16.5,64.6,286.9,13.8,24.1,6628.1,5.215625
trainbfg,13,0.0535694444444444,135.8,11.2,19,14.6,46.6,306.8,20.6,13.5,6631.9,5.9265625
trainbfg,14,0.0425416666666667,141.9,8.1,16,17.1,125.7,225.2,21.2,18.7,6626.1,8.1875
trainbfg,15,0.0550138888888889,129.5,17.4,19.1,10.4,44.5,313.1,16.2,19.9,6629.9,6.8390625
trainbfg,16,0.0495416666666667,130.6,16.5,18.9,13.3,82.9,271.8,16.6,19.6,6629.8,9.58125
trainbfg,17,0.0555555555555556,134.2,16.3,15.5,12.7,35.8,319.5,18.8,17.2,6630,9.6984375
trainbfg,18,0.0523611111111111,130.1,17.1,18.8,14,62.9,291.1,16.3,19.7,6630,11.7796875
trainbfg,19,0.0535277777777778,126.9,20.1,19,9.1,54.4,304.5,15.5,17.2,6633.3,11.4125
trainbfg,20,0.0481111111111111,118.9,14.5,32.6,10.1,103.4,254.5,15.5,19.2,6631.3,14.0921875
trainbfg,21,0.0512916666666667,133.7,12.7,19.6,11.5,63,293.5,18.2,13.8,6634,13.1203125
trainbfg,22,0.0459027777777778,133.2,15.3,17.5,8.8,105.5,253.7,16.1,19.1,6630.8,20.2
trainbfg,23,0.0503055555555556,117.8,15.4,32.8,7.7,86.8,273.5,17.3,15.5,6633.2,18.621875
trainbfg,24,0.0501944444444445,130.4,17,18.6,7.7,75.7,284.6,17.5,16,6632.5,21.1390625
trainbfg,25,0.0530555555555556,132.2,17.5,16.3,9.4,54.8,303.8,15.7,19.3,6631,19.675
trainbfg,26,0.0466805555555556,132.6,16.6,16.8,11.8,101.1,255.1,15.2,20.6,6630.2,23.5390625
trainbfg,27,0.0535138888888889,126.4,19.2,20.4,7.1,55.2,305.7,15.9,17,6633.1,20.375
trainbfg,28,0.0519166666666667,129.3,20.3,16.4,8.2,68.4,291.4,19.3,18.2,6628.5,25.9265625
trainbfg,29,0.0554444444444444,125.7,20.8,19.5,8,42.5,317.5,14.5,18.9,6632.6,24.084375
trainbfg,30,0.048,132,14.9,19.1,8.1,88.9,271,17.7,14.8,6633.5,32.1390625
trainbfg,31,0.0515277777777778,131,17.3,17.7,7.9,69.5,290.6,17.7,19.8,6628.5,27.175
trainbfg,32,0.0584305555555556,115.4,17.1,33.5,6.7,27.4,333.9,16.4,13.1,6636.5,23.5421875
trainbfg,33,0.0539722222222222,130.2,16.2,19.6,6.2,48,313.8,17.2,15.6,6633.2,26.528125
trainbfg,34,0.0504583333333333,129.5,19,17.5,6.5,74,287.5,17.3,15.5,6633.2,35.0234375
trainbfg,35,0.0475833333333333,127.9,20.1,18,5.2,97.1,265.7,15.3,18.3,6632.4,42.0859375
trainbfg,36,0.0474583333333333,130.2,17.5,18.3,6.3,98.8,262.9,16.6,20.1,6629.3,47.5390625
trainbfg,37,0.0470555555555556,128.6,18.4,19,9.5,103.5,255,14.6,22.3,6629.1,48.171875
trainbfg,38,0.0567222222222222,127.1,19.8,19.1,8.6,32.3,327.1,14.7,19.1,6632.2,40.8921875
trainbfg,39,0.0538888888888889,117.6,14.9,33.5,8.2,60.4,299.4,14.3,17.7,6634,50.7
trainbfg,40,0.0560972222222222,128.9,19.1,18,7.2,34.4,326.4,15.4,17.8,6632.8,53.690625
trainbfg,41,0.0490555555555556,132.1,18.4,15.5,7.9,83.9,276.2,16.4,18.8,6630.8,69.996875
trainbfg,42,0.0415972222222222,130.4,17.5,18.1,8.6,137.4,222,14.9,18.4,6632.7,86.61875
trainbfg,43,0.0561527777777778,125.7,19.9,20.4,6.5,34.7,326.8,16.9,13.8,6635.3,60.521875
trainbfg,44,0.039375,132.9,15.9,17.2,7.2,150,210.8,12.2,20.2,6633.6,129.2390625
trainbfg,45,0.0502083333333333,127.8,18.1,20.1,6.4,75.6,286,15.6,15.3,6635.1,90.7
trainbfg,46,0.0461944444444444,131.2,18.4,16.4,9.4,104.9,253.7,14.7,20,6631.3,129.0453125
trainbfg,47,0.0410416666666667,133.5,15.8,16.7,6.9,139.9,221.2,15.5,19.4,6631.1,143.9546875
trainbfg,48,0.0501111111111111,130.9,17.9,17.2,7,76.8,284.2,17.5,17,6631.5,126.0515625
trainbfg,49,0.0524722222222222,126.5,21.7,17.8,6.8,62,299.2,15.4,16.9,6633.7,121.4109375
trainbfg,50,0.0503472222222222,126.6,17.6,21.8,5.4,74.8,287.8,16.7,13.2,6636.1,127.959375
trainrp,1,0.0741805555555556,0,0,166,0,0.5,367.5,0,0.6,6665.4,0.3296875
trainrp,2,0.0708472222222222,25.3,0.8,139.9,2.5,1.9,363.6,2.9,0.4,6662.7,0.3515625
trainrp,3,0.0633333333333333,90,5.7,70.3,8.3,8.9,350.8,16.6,4.3,6645.1,0.628125
trainrp,4,0.06,116.3,7,42.7,8.9,13,346.1,20.4,6.9,6638.7,0.5921875
trainrp,5,0.0569305555555556,132.2,8.8,25,11,16.2,340.8,17.8,6.5,6641.7,0.7078125
trainrp,6,0.05675,125.3,11.8,28.9,7.8,24.2,336,16.6,7.5,6641.9,0.778125
trainrp,7,0.0572638888888889,125,13.3,27.7,6.1,21,340.9,18,6.3,6641.7,0.7
trainrp,8,0.0556111111111111,126.8,15.5,23.7,6.9,31.9,329.2,15.3,9.8,6640.9,0.6765625
trainrp,9,0.056,128.5,12.6,24.9,6.2,27.2,334.6,18.8,6.1,6641.1,0.7671875
trainrp,10,0.0560833333333333,125.5,9.3,31.2,5.8,25.6,336.6,16.2,4.7,6645.1,0.7484375
trainrp,11,0.0564583333333333,126.3,11.7,28,6.2,24.2,337.6,17.7,5.3,6643,0.825
trainrp,12,0.0566666666666667,124.8,11,30.2,5.8,22.9,339.3,17.4,4.3,6644.3,0.803125
trainrp,13,0.0567361111111111,124.7,10.6,30.7,4.9,27.4,335.7,19.7,6.9,6639.4,0.8140625
trainrp,14,0.0574722222222222,124.4,10.7,30.9,6,15.6,346.4,15.7,4.1,6646.2,0.703125
trainrp,15,0.0550138888888889,127.3,15.2,23.5,5.2,35.4,327.4,17.2,7.6,6641.2,0.890625
trainrp,16,0.0571388888888889,124.6,8.3,33.1,3.5,18.6,345.9,17.7,2.9,6645.4,0.83125
trainrp,17,0.0575138888888889,125.1,8.3,32.6,6,13.9,348.1,15,4.1,6646.9,0.75625
trainrp,18,0.0579861111111111,122.9,8.3,34.8,4.8,14.7,348.5,17.7,3.4,6644.9,0.7
trainrp,19,0.0564027777777778,127.2,8,30.8,4.1,21.7,342.2,17.9,3.1,6645,0.9015625
trainrp,20,0.0545833333333333,127.3,12,26.7,3.5,36.9,327.6,18.5,4.7,6642.8,0.984375
trainrp,21,0.0579861111111111,121.8,9.1,35.1,3.7,15,349.3,16.2,4.1,6645.7,0.746875
trainrp,22,0.0562777777777778,124.9,10.4,30.7,3.9,25.5,338.6,15.4,6.2,6644.4,0.828125
trainrp,23,0.0543333333333333,127.3,14.2,24.5,3.3,39.5,325.2,15.1,8.9,6642,1.146875
trainrp,24,0.0553472222222222,123.9,9.9,32.2,3.5,33,331.5,15.9,5.5,6644.6,0.9125
trainrp,25,0.0553888888888889,125.4,7.2,33.4,3,30.7,334.3,16.6,4.3,6645.1,0.971875
trainrp,26,0.0557083333333333,129.5,11.5,25,4.1,27.1,336.8,19,4.7,6642.3,0.95
trainrp,27,0.0533611111111111,130.2,12.7,23.1,3.2,46,318.8,19.2,7.2,6639.6,1.1265625
trainrp,28,0.056,127.2,12.8,26,4.3,24,339.7,16.1,4.3,6645.6,0.8515625
trainrp,29,0.0544861111111111,129.4,12.2,24.4,4.6,32.6,330.8,15.3,5,6645.7,1.015625
