funcion_entrenamiento,n_neurons,avg_c,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,tiempo_entrenamiento
traincgb,1,0.0679027777777778,40.8,5.4,119.8,8.5,17.5,342,5.8,7.4,6652.8,1.415625
traincgb,2,0.0601944444444445,80.6,9.1,76.3,13.3,39.2,315.5,11.1,8.1,6646.8,1.034375
traincgb,3,0.0517083333333333,132.6,18.8,14.6,24.3,60.8,282.9,17.6,14.1,6634.3,1.4578125
traincgb,4,0.056625,111.6,8.5,45.9,16.8,41.8,309.4,17,10.1,6638.9,1.1828125
traincgb,5,0.0547916666666667,117,14.7,34.3,16.5,50.2,301.3,13.1,14.6,6638.3,1.5671875
traincgb,6,0.0497222222222222,128.9,21.1,16,13.5,79.8,274.7,14.9,17.8,6633.3,1.8078125
traincgb,7,0.0515138888888889,131.8,17,17.2,17.8,62.1,288.1,17.7,13.1,6635.2,1.603125
traincgb,8,0.05125,128.8,20.9,16.3,9.4,71,287.6,16.7,18.1,6631.2,1.5984375
traincgb,9,0.0442222222222222,127.8,20.7,17.5,13.8,119,235.2,15.6,15.6,6634.8,2.2734375
traincgb,10,0.0512916666666667,126,21,19,7.9,65.7,294.4,14,13,6639,1.8546875
traincgb,11,0.0544861111111111,125.5,15.4,25.1,6.2,40.1,321.7,15.7,8.2,6642.1,2.2578125
traincgb,12,0.0505694444444444,127.4,21.7,16.9,7,75.9,285.1,16,17.4,6632.6,2.8765625
traincgb,13,0.0430416666666667,126.5,18.6,20.9,8.9,125.4,233.7,14,13.8,6638.2,3.4703125
traincgb,14,0.0464444444444444,129.9,18.2,17.9,7.8,100.3,259.9,15.9,14.7,6635.4,2.5703125
traincgb,15,0.0497361111111111,128.7,20.3,17,8.8,78.8,280.4,15.3,16.3,6634.4,2.121875
traincgb,16,0.0485694444444445,131.5,14.7,19.8,7.4,79.9,280.7,16,11.1,6638.9,2.0953125
traincgb,17,0.0463888888888889,130.9,15.5,19.6,6.6,94.9,266.5,14.6,11.2,6640.2,2.4703125
traincgb,18,0.0441111111111111,134.4,15.4,16.2,8.7,114.2,245.1,17.2,15,6633.8,2.5390625
traincgb,19,0.042625,131.7,16.2,18.1,5.8,124.8,237.4,14.6,14.8,6636.6,2.9671875
traincgb,20,0.0470555555555556,131.1,16.2,18.7,6.9,92.4,268.7,15.7,12.6,6637.7,2.4671875
traincgb,21,0.0539722222222222,126.5,19.3,20.2,6.7,46.5,314.8,15.9,11.7,6638.4,1.946875
traincgb,22,0.0443611111111111,129.3,19.3,17.4,4.9,114.6,248.5,14.8,14.5,6636.7,2.8359375
traincgb,23,0.0513611111111111,129.8,16.1,20.1,5.2,60.9,301.9,15.9,10.6,6639.5,2.2125
traincgb,24,0.0452361111111111,129,20.7,16.3,6.3,108.3,253.4,13.2,15.8,6637,3.0640625
traincgb,25,0.0505,126.8,18.6,20.6,5.3,69.9,292.8,15.4,10.9,6639.7,2.278125
traincgb,26,0.0431111111111111,134.8,15,16.2,6.6,118.8,242.6,16.6,13.4,6636,3.0015625
traincgb,27,0.0508611111111111,130.2,16,19.8,5.6,67.5,294.9,16.2,13.7,6636.1,2.5109375
traincgb,28,0.0463472222222222,131.7,16.7,17.6,5.6,96.5,265.9,14.8,13.1,6638.1,2.971875
traincgb,29,0.0413472222222222,132.3,15.9,17.8,5.4,132.2,230.4,14.2,14,6637.8,3.559375
traincgb,30,0.0511111111111111,127.8,17.5,20.7,6.7,63.8,297.5,14.6,11,6640.4,2.4109375
traincgb,31,0.0406666666666667,131.1,17.5,17.4,4.9,138.1,225,14.6,13.4,6638,3.8046875
traincgb,32,0.0472361111111111,129.4,19.8,16.8,4.5,95,268.5,16.9,13.6,6635.5,2.9046875
traincgb,33,0.049375,130.1,17.2,18.7,5.7,74.6,287.7,15.7,10.5,6639.8,2.8375
traincgb,34,0.0412083333333333,136.1,14.1,15.8,6.1,131.2,230.7,15.8,14.2,6636,4.034375
traincgb,35,0.0461666666666667,130.3,15.9,19.8,3.5,98.2,266.3,15.7,11.2,6639.1,3.5578125
traincgb,36,0.0439444444444444,130,17.6,18.4,3.3,116.9,247.8,15.7,13.6,6636.7,4.096875
traincgb,37,0.0448888888888889,128.8,15.4,21.8,2.9,107.9,257.2,15.1,10.8,6640.1,4.3859375
traincgb,38,0.040875,131.1,17.9,17,3.5,137.8,226.7,13.9,15.3,6636.8,4.5546875
traincgb,39,0.0452638888888889,129.2,14.6,22.2,5.1,103.5,259.4,14.7,9.9,6641.4,5.0671875
traincgb,40,0.0484583333333333,130.4,15.8,19.8,4.9,83.5,279.6,17.8,11,6637.2,3.7921875
traincgb,41,0.0396666666666667,133.2,16.4,16.4,2.1,144.5,221.4,15.6,13.7,6636.7,6.3484375
traincgb,42,0.0388055555555556,133,17.5,15.5,3.2,152.5,212.3,15.2,15.7,6635.1,5.9375
traincgb,43,0.0477638888888889,128.6,19.8,17.6,4.8,89.1,274.1,13.8,13.8,6638.4,4.65
traincgb,44,0.0490833333333333,129.8,16.9,19.3,4.1,79.3,284.6,15.9,12.6,6637.5,4.296875
traincgb,45,0.0456527777777778,130,13.9,22.1,3.3,100.9,263.8,15,10.6,6640.4,5.2859375
traincgb,46,0.0459444444444444,130.2,16.5,19.3,4.4,98.9,264.7,14.4,11.5,6640.1,4.5703125
traincgb,47,0.0555138888888889,123.7,16.9,25.4,3.5,35.2,329.3,16.1,8.5,6641.4,2.9671875
traincgb,48,0.0444722222222222,128.5,17.9,19.6,3.6,115,249.4,17.2,12.5,6636.3,4.3875
traincgb,49,0.0423333333333333,133.4,17.2,15.4,6.2,126.8,235,15,16,6635,5.290625
traincgb,50,0.0456944444444444,131.8,16.5,17.7,3.1,101.8,263.1,15.5,13.1,6637.4,5.18125
traincgb,51,0.0528194444444444,127.4,15.5,23.1,3,52.2,312.8,16.1,9.8,6640.1,3.8078125
traincgb,52,0.0516111111111111,131.5,14.4,20.1,4.2,56.7,307.1,18.1,7.7,6640.2,3.875
traincgb,53,0.0467638888888889,129.3,19.5,17.2,2.8,97.7,267.5,15.3,14.4,6636.3,5.1640625
traincgb,54,0.0481666666666667,129.9,18.8,17.3,4.2,84.1,279.7,17.4,9.4,6639.2,4.7203125
traincgb,55,0.0500416666666667,126.1,21,18.9,2.4,80.8,284.8,16.8,16.4,6632.8,4.34375
traincgb,56,0.0494722222222222,128.5,17,20.5,3.2,75.3,289.5,15.8,10.2,6640,4.603125
traincgb,57,0.0431805555555556,130.6,19.8,15.6,4,123.4,240.6,15.3,15.6,6635.1,6.4375
traincgb,58,0.0465138888888889,131.6,13.5,20.9,3.3,94.5,270.2,16.6,10.4,6639,13.21875
traincgb,59,0.0494166666666667,128.3,18.5,19.2,3,76.5,288.5,16.5,10.1,6639.4,11.5359375
traincgb,60,0.0445555555555556,132,16.7,17.3,3.3,107.5,257.2,14.9,11.4,6639.7,15.1203125
traincgb,61,0.0498472222222222,127.9,18.2,19.9,1.9,73.2,292.9,15.8,10.2,6640,12.5921875
traincgb,62,0.0519305555555556,129.1,16.4,20.5,3.9,57.9,306.2,18.6,8.3,6639.1,10.546875
traincgb,63,0.0525138888888889,126.8,17.7,21.5,3.4,55.3,309.3,16.7,9.5,6639.8,10.1421875
traincgb,64,0.0502916666666667,127.9,17.4,20.7,4,69.5,294.5,15.4,10.1,6640.5,11.25
traincgb,65,0.050125,125.5,19.8,20.7,3.8,75.5,288.7,15.7,12.2,6638.1,12.6703125
traincgb,66,0.0487361111111111,131.8,14.7,19.5,3,77.1,287.9,17.9,7.9,6640.2,13.8984375
traincgb,67,0.04825,129.7,18.1,18.2,2.1,83.5,282.4,15.7,10.9,6639.4,14.953125
traincgb,68,0.0527361111111111,125.9,18.5,21.6,3.4,54.4,310.2,17,9,6640,10.3796875
traincgb,69,0.0462916666666667,130.1,18,17.9,3.1,99.5,265.4,16.2,12.7,6637.1,15.240625
traincgb,70,0.0498611111111111,128.1,17,20.9,3,74,291,16.5,10.6,6638.9,13.4484375
traincgb,71,0.0472083333333333,128.7,18.1,19.2,2.8,90.6,274.6,14.9,10.3,6640.8,15.9
traincgb,72,0.0498472222222222,128.4,16.9,20.7,3.8,73.3,290.9,15.4,11.2,6639.4,12.4859375
traincgb,73,0.0529027777777778,126.5,17.7,21.8,1.8,51.6,314.6,15.3,9.7,6641,11.478125
traincgb,74,0.0475,129.9,18.1,18,3.1,93,271.9,17.8,13.1,6635.1,13.590625
traincgb,75,0.0524305555555556,127.7,15.8,22.5,2.4,55.8,309.8,17,10,6639,11.875
traincgb,76,0.0507638888888889,127,17.3,21.7,3.6,67.8,296.6,16,10.3,6639.7,13.103125
traincgb,77,0.0510972222222222,124.6,15.3,26.1,2.4,65.7,299.9,14.7,9.5,6641.8,13.178125
traincgb,78,0.0508888888888889,129.3,19.1,17.6,3,68.3,296.7,17.2,12.8,6636,13.3140625
traincgb,79,0.0507361111111111,127.7,17.3,21,2.6,69.2,296.2,17.7,10.5,6637.8,14.6578125
traincgb,80,0.0493472222222222,130.9,15.8,19.3,2.3,73.9,291.8,16.8,9.3,6639.9,14.9078125
traincgb,81,0.0520416666666667,127.3,19.2,19.5,2.3,59.2,306.5,14.4,12.8,6638.8,13.684375
traincgb,82,0.04975,128.7,17.7,19.6,2.6,77.8,287.6,19.1,11.6,6635.3,15.5984375
traincgb,83,0.0479722222222222,131.3,18.8,15.9,2.7,88,277.3,18.5,12.2,6635.3,16.790625
traincgb,84,0.0525,126.3,15.9,23.8,2.4,54.3,311.3,15.8,8.8,6641.4,12.815625
traincgb,85,0.0537777777777778,125.4,17.1,23.5,1.8,45.2,321,16.5,7.3,6642.2,12.5375
traincgb,86,0.0420138888888889,135.7,15.1,15.2,3.1,125.8,239.1,16.5,13.5,6636,20.2703125
traincgb,87,0.0512222222222222,129.4,17.2,19.4,2.4,61.9,303.7,17.4,8.7,6639.9,15.540625
traincgb,88,0.0501666666666667,130.4,16.3,19.3,3.3,69.1,295.6,17.6,9.1,6639.3,15.0203125
traincgb,89,0.0506805555555555,129.5,18.1,18.4,3.4,69.7,294.9,17.9,12.2,6635.9,16.1578125
traincgb,90,0.0530138888888889,127,16.4,22.6,1.9,48.8,317.3,15.9,7.6,6642.5,13.3015625
traincgb,91,0.049125,132.1,16.8,17.1,3.3,81.5,283.2,19.7,13.6,6632.7,15.634375
traincgb,92,0.0499583333333333,132.7,16.8,16.5,2.9,69.6,295.5,18.4,9.6,6638,15.35
traincgb,93,0.0500972222222222,129.4,14.9,21.7,2.4,68.1,297.5,16.1,8.1,6641.8,16.6375
traincgb,94,0.0463055555555556,132,16.2,17.8,2,96.5,269.5,17.6,10.3,6638.1,20.2375
traincgb,95,0.0484027777777778,130.9,16.4,18.7,2.9,81.9,283.2,17.1,10.2,6638.7,17.3
traincgb,96,0.0510138888888889,132.7,15.1,18.2,2.7,63.8,301.5,19.5,10.3,6636.2,14.4546875
traincgb,97,0.0522916666666667,129.2,14.2,22.6,2.3,53.5,312.2,17.2,8,6640.8,15.021875
traincgb,98,0.0511388888888889,128.1,17.8,20.1,2.5,63.5,302,16.9,8.9,6640.2,15.0625
traincgb,99,0.0445833333333333,132.4,17.7,15.9,2.1,111.2,254.7,16.8,13.8,6635.4,22.9359375
traincgb,100,0.0508333333333333,123.7,15.7,26.6,2.4,69.1,296.5,15.5,9.3,6641.2,16.64375
traincgb,101,0.0529166666666667,124.9,19.4,21.7,2.3,55.4,310.3,17.4,9.9,6638.7,13.9734375
traincgb,102,0.047625,132.5,16.2,17.3,1.9,87.6,278.5,19.7,9.3,6637,17.309375
traincgb,103,0.0513611111111111,125.9,15.9,24.2,3,64.3,300.7,16,10,6640,15.690625
traincgb,104,0.049,131,14.7,20.3,1.6,76.7,289.7,17.1,9.4,6639.5,17.5671875
traincgb,105,0.0502638888888889,130.9,15.6,19.5,2.2,67.8,298,17.6,9,6639.4,17.3484375
traincgb,106,0.0515138888888889,127.3,16.6,22.1,1.4,61.2,305.4,16.8,8.6,6640.6,15.39375
traincgb,107,0.0454444444444444,135,16,15,2.2,102.5,263.3,19.5,11.2,6635.3,22.8984375
traincgb,108,0.0494722222222222,127.3,17.7,21,1.2,75.5,291.3,15.2,9.8,6641,17.6578125
traincgb,109,0.0566527777777778,121.8,18.5,25.7,2.2,26.8,339,15.7,6.8,6643.5,10.9734375
traincgb,110,0.0440833333333333,133.5,15.9,16.6,1.5,112,254.5,17.4,11.5,6637.1,20.78125
traincgb,111,0.0514583333333333,127.4,15.8,22.8,2.8,64,301.2,18.3,9.6,6638.1,15.6828125
