funcion_entrenamiento,C,CM1_1,CM1_2,CM1_3,CM2_1,CM2_2,CM2_3,CM3_1,CM3_2,CM3_3,tiempo_entrenamiento,max_fail,alpha,beta
traincgb,0.0125,151,5,10,2,316,50,7,16,6643,25.84375,10000,0.001,0.1
traincgb,0.0144444444444444,148,8,10,1,304,63,7,15,6644,22.453125,10000,0.001,0.3
traincgb,0.0216666666666667,142,12,12,2,269,97,18,15,6633,7.609375,10000,0.001,0.5
traincgb,0.0505555555555556,120,33,13,7,82,279,13,19,6634,1.875,10000,0.001,0.7
traincgb,0.0161111111111111,144,3,19,3,307,58,12,21,6633,23.359375,10000,0.002,0.1
traincgb,0.015,145,4,17,1,302,65,8,13,6645,21.546875,10000,0.002,0.3
traincgb,0.0438888888888889,125,26,15,1,121,246,13,15,6638,3.0625,10000,0.002,0.5
traincgb,0.0447222222222222,130,21,15,1,113,254,18,13,6635,2.65625,10000,0.002,0.7
traincgb,0.0136111111111111,149,7,10,2,311,55,10,14,6642,10.71875,10000,0.003,0.1
traincgb,0.0175,147,7,12,5,285,78,11,13,6642,4.9375,10000,0.003,0.3
traincgb,0.0468055555555556,138,11,17,12,83,273,13,11,6642,2.5625,10000,0.003,0.5
traincgb,0.0445833333333333,124,28,14,1,114,253,14,11,6641,2.921875,10000,0.003,0.7
traincgb,0.0123611111111111,144,6,16,2,318,48,6,11,6649,12.875,10000,0.004,0.1
traincgb,0.0118055555555556,143,5,18,2,328,38,10,12,6644,21.90625,10000,0.004,0.3
traincgb,0.0484722222222222,126,23,17,1,84,283,15,10,6641,1.796875,10000,0.004,0.5
traincgb,0.0493055555555556,129,19,18,6,70,292,12,8,6646,2.25,10000,0.004,0.7
traincgf,0.0106944444444444,159,3,4,1,327,40,15,14,6637,26.734375,10000,0.001,0.1
traincgf,0.0170833333333333,140,10,16,4,307,57,12,24,6630,22.046875,10000,0.001,0.3
traincgf,0.0184722222222222,127,24,15,5,315,48,8,33,6625,18.125,10000,0.001,0.5
traincgf,0.02,145,9,12,24,286,58,15,26,6625,8.28125,10000,0.001,0.7
traincgf,0.0106944444444444,144,3,19,2,339,27,7,19,6640,23.5625,10000,0.002,0.1
traincgf,0.01375,143,8,15,4,317,47,11,14,6641,20.453125,10000,0.002,0.3
traincgf,0.0148611111111111,145,6,15,2,321,45,13,26,6627,15.453125,10000,0.002,0.5
traincgf,0.0177777777777778,146,6,14,1,286,81,10,16,6640,16.4375,10000,0.002,0.7
traincgf,0.0184722222222222,134,18,14,10,304,54,6,31,6629,24.84375,10000,0.003,0.1
traincgf,0.0211111111111111,133,19,14,8,294,66,19,26,6621,20.78125,10000,0.003,0.3
traincgf,0.0158333333333333,143,8,15,3,305,60,16,12,6638,17.453125,10000,0.003,0.5
traincgf,0.0184722222222222,141,8,17,2,283,83,10,13,6643,10.3125,10000,0.003,0.7
traincgf,0.0206944444444444,133,14,19,6,286,76,5,29,6632,25.234375,10000,0.004,0.1
traincgf,0.0198611111111111,143,9,14,7,287,74,14,25,6627,19.984375,10000,0.004,0.3
traincgf,0.00819444444444445,157,2,7,1,339,28,5,16,6645,17.234375,10000,0.004,0.5
traincgf,0.0138888888888889,148,7,11,1,310,57,10,14,6642,15.65625,10000,0.004,0.7
