funcion_entrenamiento,C,CM1_1,CM1_2,CM1_3,CM2_1,CM2_2,CM2_3,CM3_1,CM3_2,CM3_3,tiempo_entrenamiento,max_fail,alpha,beta
traincgb,0.0241666666666667,126,22,18,0,267,101,12,21,6633,5.65625,10000,0.001,0.5
traincgb,0.0156944444444444,146,7,13,3,298,67,7,16,6643,11.625,10000,0.001,0.5
traincgb,0.0393055555555556,137,16,13,0,146,222,21,11,6634,2.921875,10000,0.001,0.5
traincgb,0.0238888888888889,142,10,14,1,245,122,14,11,6641,7.4375,10000,0.001,0.5
traincgb,0.0336111111111111,140,11,15,21,179,168,12,15,6639,5.125,10000,0.001,0.5
traincgb,0.0143055555555556,147,6,13,2,313,53,12,17,6637,10.515625,10000,0.001,0.5
traincgb,0.0445833333333333,130,19,17,6,109,253,12,14,6640,2.828125,10000,0.001,0.5
traincgb,0.0105555555555556,150,4,12,2,334,32,11,15,6640,19.453125,10000,0.001,0.5
traincgb,0.0561111111111111,125,25,16,8,37,323,15,17,6634,1.3125,10000,0.001,0.5
traincgb,0.0327777777777778,134,17,15,4,195,169,14,17,6635,4.71875,10000,0.001,0.5
traincgb,0.0525,128,24,14,10,64,294,24,12,6630,1.671875,10000,0.001,0.5
traincgb,0.0179166666666667,148,5,13,1,290,77,15,18,6633,7.015625,10000,0.001,0.5
traincgb,0.0363888888888889,132,19,15,2,169,197,14,15,6637,3.296875,10000,0.001,0.5
traincgb,0.0180555555555556,138,10,18,2,289,77,7,16,6643,19.75,10000,0.001,0.5
traincgb,0.04,130,19,17,2,147,219,15,16,6635,3.859375,10000,0.001,0.5
traincgb,0.0179166666666667,147,7,12,1,287,80,15,14,6637,19.828125,10000,0.001,0.5
traincgb,0.0151388888888889,150,6,10,2,298,68,15,8,6643,19.5625,10000,0.001,0.5
traincgb,0.0255555555555556,135,14,17,3,243,122,13,15,6638,6.953125,10000,0.001,0.5
traincgb,0.0165277777777778,144,7,15,1,294,73,13,10,6643,9.3125,10000,0.001,0.5
traincgb,0.0216666666666667,142,12,12,2,269,97,18,15,6633,7.609375,10000,0.001,0.5
