funcion_entrenamiento,C,CM1_1,CM1_2,CM1_3,CM2_1,CM2_2,CM2_3,CM3_1,CM3_2,CM3_3,tiempo_entrenamiento,max_fail,alpha,beta
traincgf,0.0145833333333333,142,12,12,6,329,33,15,27,6624,17.15625,10000,0.002,0.5
traincgf,0.0154166666666667,146,6,14,3,301,64,12,12,6642,16.484375,10000,0.002,0.5
traincgf,0.01375,143,8,15,5,323,40,7,24,6635,15.765625,10000,0.002,0.5
traincgf,0.0159722222222222,149,12,5,11,303,54,13,20,6633,16.9375,10000,0.002,0.5
traincgf,0.0122222222222222,152,5,9,2,328,38,10,24,6632,17.1875,10000,0.002,0.5
traincgf,0.0144444444444444,143,4,19,3,319,46,7,25,6634,16.4375,10000,0.002,0.5
traincgf,0.0170833333333333,139,20,7,4,310,54,6,32,6628,16.1875,10000,0.002,0.5
traincgf,0.0141666666666667,142,11,13,10,321,37,12,19,6635,16.78125,10000,0.002,0.5
traincgf,0.0113888888888889,155,2,9,4,330,34,13,20,6633,16.84375,10000,0.002,0.5
traincgf,0.0298611111111111,139,16,11,15,227,126,20,27,6619,17.09375,10000,0.002,0.5
traincgf,0.0131944444444444,146,8,12,3,328,37,12,23,6631,16.5,10000,0.002,0.5
traincgf,0.0148611111111111,140,11,15,4,316,48,15,14,6637,16.53125,10000,0.002,0.5
traincgf,0.00986111111111111,153,0,13,3,339,26,12,17,6637,16.953125,10000,0.002,0.5
traincgf,0.0106944444444444,152,5,9,3,336,29,14,17,6635,16.8125,10000,0.002,0.5
traincgf,0.0156944444444444,132,15,19,4,317,47,11,17,6638,17.5,10000,0.002,0.5
traincgf,0.0179166666666667,129,15,22,4,307,57,4,27,6635,17.015625,10000,0.002,0.5
traincgf,0.01375,145,11,10,6,325,37,13,22,6631,16.796875,10000,0.002,0.5
traincgf,0.0119444444444444,149,7,10,3,335,30,10,26,6630,16.234375,10000,0.002,0.5
traincgf,0.0144444444444444,148,5,13,5,311,52,15,14,6637,17,10000,0.002,0.5
traincgf,0.0148611111111111,145,6,15,2,321,45,13,26,6627,15.453125,10000,0.002,0.5
