funcion_entrenamiento,C,CM1_1,CM1_2,CM1_3,CM2_1,CM2_2,CM2_3,CM3_1,CM3_2,CM3_3,tiempo_entrenamiento,max_fail,alpha,beta
traincgb,0.0359861111111111,133.1,17.3,15.6,5.7,171.55,190.75,12.3,17.45,6636.25,3.48359375,10,0.001,0.1
traincgb,0.0368541666666667,132.1,16.5,17.4,4.4,163.65,199.95,13.3,13.8,6638.9,3.4875,10,0.001,0.3
traincgb,0.0412291666666667,133,16.25,16.75,4.25,133.7,230.05,15.1,14.45,6636.45,3.05625,10,0.001,0.5
traincgb,0.0486597222222222,127.35,18.45,20.2,4.35,81.5,282.15,13.9,11.3,6640.8,2.34140625,10,0.001,0.7
traincgb,0.0368402777777778,134.4,16.15,15.45,6.9,165.2,195.9,14.55,16.3,6635.15,3.44140625,10,0.002,0.1
traincgb,0.0363333333333333,135.2,16.7,14.1,3.4,168.05,196.55,14.9,15.95,6635.15,3.421875,10,0.002,0.3
traincgb,0.0422916666666667,131.8,17.25,16.95,3.95,125.65,238.4,15.35,12.6,6638.05,2.98671875,10,0.002,0.5
traincgb,0.0477430555555556,125,18.3,22.7,3.3,90.5,274.2,14.45,10.8,6640.75,2.50859375,10,0.002,0.7
traincgb,0.0356458333333333,135.55,14.55,15.9,5.6,172.4,190,14.15,16.45,6635.4,3.365625,10,0.003,0.1
traincgb,0.0383402777777778,132.1,17.45,16.45,4.9,156.05,207.05,14.55,15.65,6635.8,2.94453125,10,0.003,0.3
traincgb,0.0437638888888889,132.6,17.85,15.55,5.85,115.7,246.45,16.55,12.85,6636.6,2.8140625,10,0.003,0.5
traincgb,0.0462430555555556,129.6,18.15,18.25,4.3,96.15,267.55,14.3,10.4,6641.3,2.775,10,0.003,0.7
traincgb,0.0337569444444445,134.15,16.4,15.45,6.15,186.45,175.4,13.4,16.25,6636.35,3.73046875,10,0.004,0.1
traincgb,0.0381666666666667,131.85,16.75,17.4,4,156.5,207.5,14.35,14.8,6636.85,3.1453125,10,0.004,0.3
traincgb,0.0435,131.65,16.95,17.4,4.45,116.7,246.85,15.6,11.95,6638.45,2.73671875,10,0.004,0.5
traincgb,0.050625,122.3,17.2,26.5,4.7,70.75,292.55,14.2,9.35,6642.45,2.21953125,10,0.004,0.7
traincgb,0.0257013888888889,136,15.1,14.9,3.6,241.55,122.85,13.35,15.25,6637.4,5.20703125,20,0.001,0.1
traincgb,0.0262847222222222,137.8,13.25,14.95,4.15,235.8,128.05,12.35,16.5,6637.15,5.33203125,20,0.001,0.3
traincgb,0.0303194444444444,136.8,15.15,14.05,4,208.1,155.9,13,16.2,6636.8,5.1125,20,0.001,0.5
traincgb,0.0463194444444445,123.65,15.95,26.4,3.25,101.5,263.25,13.4,11.25,6641.35,2.94609375,20,0.001,0.7
traincgb,0.0264722222222222,138.45,12.2,15.35,5,233.9,129.1,12.95,16,6637.05,5.2078125,20,0.002,0.1
traincgb,0.0266041666666667,137.7,13.45,14.85,3,234.55,130.45,13.8,16,6636.2,5.35546875,20,0.002,0.3
traincgb,0.0386319444444444,126.9,16,23.1,3.55,156.5,207.95,14.05,13.5,6638.45,3.70625,20,0.002,0.5
traincgb,0.0452708333333333,126.55,15.85,23.6,3.55,105.25,259.2,12.2,11.55,6642.25,3.00859375,20,0.002,0.7
traincgb,0.0286388888888889,135.55,14.75,15.7,5.85,222.35,139.8,12.8,17.3,6635.9,4.5046875,20,0.003,0.1
traincgb,0.0300486111111111,137,14.35,14.65,4.3,210.8,152.9,13.7,16.45,6635.85,4.8625,20,0.003,0.3
traincgb,0.0349305555555556,134,16.2,15.8,3.35,177.35,187.3,14.55,14.3,6637.15,4.51328125,20,0.003,0.5
traincgb,0.0416319444444444,131.35,17.9,16.75,3.4,131.55,233.05,15.25,13.4,6637.35,3.653125,20,0.003,0.7
traincgb,0.0317708333333333,129.45,13.65,22.9,5.45,203.35,159.2,12.85,14.7,6638.45,4.29140625,20,0.004,0.1
traincgb,0.0239166666666667,139.5,11.65,14.85,2.7,250.5,114.8,12.25,15.95,6637.8,5.95703125,20,0.004,0.3
traincgb,0.0335625,136.95,14.15,14.9,4.05,183.35,180.6,13.7,14.25,6638.05,4.625,20,0.004,0.5
traincgb,0.0480625,129.05,17.3,19.65,4,84.4,279.6,15.25,10.25,6640.5,2.42421875,20,0.004,0.7
traincgb,0.0244097222222222,136.35,13.5,16.15,2.65,250.8,114.55,13.25,15.65,6637.1,5.63671875,30,0.001,0.1
traincgb,0.0241388888888889,140.1,11.2,14.7,5.1,246.4,116.5,11.5,14.8,6639.7,6.10546875,30,0.001,0.3
traincgb,0.0328680555555556,135.4,15.05,15.55,2.55,190,175.45,14.2,13.85,6637.95,4.9625,30,0.001,0.5
traincgb,0.0437847222222222,130,16.5,19.5,3.35,116.1,248.55,15.45,11.9,6638.65,3.01484375,30,0.001,0.7
traincgb,0.0220486111111111,140.7,11.2,14.1,4.1,262.85,101.05,13.2,15.1,6637.7,6.15546875,30,0.002,0.1
traincgb,0.0271875,137.45,13.45,15.1,3.2,229.75,135.05,13.35,15.6,6637.05,5.428125,30,0.002,0.3
traincgb,0.0307847222222222,137.05,14.1,14.85,2.9,202.7,162.4,13.2,14.2,6638.6,5.41328125,30,0.002,0.5
traincgb,0.0458472222222222,129.35,16.55,20.1,3.7,100.8,263.5,16.05,10.2,6639.75,2.9421875,30,0.002,0.7
traincgb,0.0215416666666667,140.55,11.7,13.75,2.4,266.05,99.55,11.9,15.8,6638.3,6.871875,30,0.003,0.1
traincgb,0.0259513888888889,133.15,11.85,21,2.5,242.65,122.85,12.5,16.15,6637.35,6.021875,30,0.003,0.3
traincgb,0.0264444444444444,138.65,12.9,14.45,2.45,234.25,131.3,14.55,14.75,6636.7,5.98828125,30,0.003,0.5
traincgb,0.0466944444444444,129.35,18.9,17.75,3.4,94.6,270,14.95,11.2,6639.85,2.7359375,30,0.003,0.7
traincgb,0.024625,138.4,10.75,16.85,3.7,245.15,119.15,11.85,15,6639.15,5.8296875,30,0.004,0.1
traincgb,0.0276666666666667,130.35,13.3,22.35,1.85,231.95,134.2,13.1,14.4,6638.5,5.571875,30,0.004,0.3
traincgb,0.0316458333333333,136.05,13.6,16.35,2.7,198.9,166.4,14.35,14.45,6637.2,5.18125,30,0.004,0.5
traincgb,0.0420347222222222,131.55,17.55,16.9,4.6,127.7,235.7,15.35,12.55,6638.1,3.58828125,30,0.004,0.7
traincgb,0.0221944444444444,140.85,11.55,13.6,3.25,263.05,101.7,13.55,16.15,6636.3,7.00546875,40,0.001,0.1
traincgb,0.0240902777777778,139.4,11.45,15.15,2.25,250.15,115.6,12.95,16.05,6637,6.7078125,40,0.001,0.3
traincgb,0.0341805555555556,132.75,16.6,16.65,3.05,183.3,181.65,13.6,14.55,6637.85,4.65390625,40,0.001,0.5
traincgb,0.0496180555555556,126.45,18.55,21,4.05,73,290.95,13.25,9.45,6643.3,2.29921875,40,0.001,0.7
traincgb,0.0220208333333333,140.05,11.35,14.6,3.75,262.85,101.4,11.9,15.55,6638.55,7.3875,40,0.002,0.1
traincgb,0.0227638888888889,138.55,11.9,15.55,3,259.4,105.6,12.25,15.6,6638.15,6.6828125,40,0.002,0.3
traincgb,0.0293958333333333,137.3,14,14.7,3.8,214.3,149.9,13.9,15.35,6636.75,5.41328125,40,0.002,0.5
traincgb,0.0434722222222222,131.1,18,16.9,4.15,116.45,247.4,14.7,11.85,6639.45,3.265625,40,0.002,0.7
traincgb,0.0210138888888889,141.3,10.55,14.15,4,267.45,96.55,11.35,14.7,6639.95,6.79921875,40,0.003,0.1
traincgb,0.0234305555555556,139.55,11.95,14.5,2.95,254.7,110.35,13.25,15.7,6637.05,6.45390625,40,0.003,0.3
traincgb,0.0303819444444444,137.3,14.05,14.65,2.5,205.85,159.65,13.45,14.45,6638.1,5.3625,40,0.003,0.5
traincgb,0.0411666666666667,131.6,18.1,16.3,3.6,134.6,229.8,14.55,14.05,6637.4,3.5625,40,0.003,0.7
traincgb,0.0231875,139.25,11.35,15.4,2.7,256.25,109.05,12.35,16.1,6637.55,6.553125,40,0.004,0.1
traincgb,0.0264097222222222,138.05,12.05,15.9,3.65,232,132.35,11.75,14.45,6639.8,5.98125,40,0.004,0.3
traincgb,0.0270694444444445,137.55,13.55,14.9,2.25,229.4,136.35,12.95,14.9,6638.15,6.18125,40,0.004,0.5
traincgb,0.0427847222222222,131.8,17.15,17.05,3.55,121.3,243.15,14.9,12.25,6638.85,3.53984375,40,0.004,0.7
traincgb,0.0200625,140.95,10.1,14.95,2.6,273.85,91.55,10.65,14.6,6640.75,8.48359375,50,0.001,0.1
traincgb,0.0211180555555556,140.65,10.65,14.7,2.75,269.7,95.55,12.25,16.15,6637.6,7.44609375,50,0.001,0.3
traincgb,0.0311944444444444,133.8,15.45,16.75,3.3,202.4,162.3,12.9,13.9,6639.2,5.35859375,50,0.001,0.5
traincgb,0.0469097222222222,115,14,37,3.15,104.5,260.35,12.25,11,6642.75,3.17890625,50,0.001,0.7
traincgb,0.0229097222222222,139.35,12.05,14.6,3,258.55,106.45,12.55,16.3,6637.15,6.7421875,50,0.002,0.1
traincgb,0.0247569444444444,140.75,11.3,13.95,2.8,242.05,123.15,12.6,14.45,6638.95,6.4203125,50,0.002,0.3
traincgb,0.0387430555555555,127.3,15.75,22.95,3.35,157.55,207.1,14.6,15.2,6636.2,3.9625,50,0.002,0.5
traincgb,0.0416736111111111,130.45,17.35,18.2,3.4,130.25,234.35,15.1,11.65,6639.25,3.71328125,50,0.002,0.7
