funcion_entrenamiento,C,CM1_1,CM1_2,CM1_3,CM2_1,CM2_2,CM2_3,CM3_1,CM3_2,CM3_3,tiempo_entrenamiento,max_fail,alpha,beta
traincgf,0.0489861111111111,128.95,18.6,18.45,16.1,89.5,262.4,13.75,23.4,6628.85,2.18125,10,0.001,0.1
traincgf,0.0513541666666667,129.6,17.45,18.95,12.35,72.15,283.5,17.5,20,6628.5,1.87734375,10,0.001,0.3
traincgf,0.053125,131.65,15.05,19.3,12.1,53.05,302.85,16.7,16.5,6632.8,1.42421875,10,0.001,0.5
traincgf,0.0531666666666667,128.6,16.3,21.1,7.7,53.05,307.25,17.75,12.7,6635.55,1.5046875,10,0.001,0.7
traincgf,0.0482152777777778,130.25,17.1,18.65,13.85,90.35,263.8,14.55,19.2,6632.25,1.97265625,10,0.002,0.1
traincgf,0.0521597222222222,129.05,17.8,19.15,11.25,62.05,294.7,16.15,16.5,6633.35,1.51796875,10,0.002,0.3
traincgf,0.0516805555555556,127.15,20.55,18.3,10.2,70.7,287.1,14.9,21.05,6630.05,1.53359375,10,0.002,0.5
traincgf,0.0559305555555556,129.1,15.8,21.1,9.7,32.85,325.45,18.95,11.7,6635.35,1.303125,10,0.002,0.7
traincgf,0.0474097222222222,127.8,18.95,19.25,12.05,99.05,256.9,12.7,21.5,6631.8,2.0609375,10,0.003,0.1
traincgf,0.0534375,119.25,21.5,25.25,8.25,67,292.75,15.5,21.5,6629,1.5734375,10,0.003,0.3
traincgf,0.0555555555555555,127.6,17.25,21.15,8.85,39.65,319.5,17.05,16.2,6632.75,1.66328125,10,0.003,0.5
traincgf,0.0550277777777778,127.85,19.55,18.6,8.8,43.45,315.75,16.15,17.35,6632.5,1.3671875,10,0.003,0.7
traincgf,0.0514722222222222,131.45,15,19.55,9.4,65.75,292.85,17.45,16.35,6632.2,1.7421875,10,0.004,0.1
traincgf,0.0513819444444445,126.6,19.4,20,11.25,73.15,283.6,15.8,19.9,6630.3,1.67109375,10,0.004,0.3
traincgf,0.0560416666666667,119.05,18.65,28.3,10.65,40.05,317.3,14.25,14.35,6637.4,1.20078125,10,0.004,0.5
traincgf,0.055125,128.2,17.75,20.05,10.45,40.15,317.4,15.25,16,6634.75,1.40390625,10,0.004,0.7
traincgf,0.042375,131.55,17.4,17.05,15.05,135.1,217.85,13.95,23.8,6628.25,3.0765625,20,0.001,0.1
traincgf,0.0407916666666667,130.65,18.8,16.55,14.45,149.7,203.85,13.15,26.9,6625.95,2.89296875,20,0.001,0.3
traincgf,0.0469722222222222,130.4,18.15,17.45,12.7,102.25,253.05,15.15,21.7,6629.15,2.38125,20,0.001,0.5
traincgf,0.0485347222222222,130.55,18.45,17,9.7,92,266.3,15.7,22.3,6628,2.2875,20,0.001,0.7
traincgf,0.0385555555555556,129.4,21.5,15.1,14.85,173.75,179.4,15.5,31.25,6619.25,3.30625,20,0.002,0.1
traincgf,0.0477013888888889,130.85,16.4,18.75,11.9,95,261.1,16.9,18.4,6630.7,2.29609375,20,0.002,0.3
traincgf,0.0405972222222222,130.3,18.05,17.65,13.6,150.45,203.95,14.85,24.2,6626.95,2.76171875,20,0.002,0.5
traincgf,0.0442847222222222,130.45,16.45,19.1,12.35,117.75,237.9,14.3,18.75,6632.95,2.7265625,20,0.002,0.7
traincgf,0.0387777777777778,129.35,20.4,16.25,16.15,166.2,185.65,15,25.75,6625.25,3.56953125,20,0.003,0.1
traincgf,0.0351388888888889,134.9,16.55,14.55,12.85,192.65,162.5,15.05,31.5,6619.45,3.56875,20,0.003,0.3
traincgf,0.0454791666666667,130.55,18.05,17.4,10.85,114.45,242.7,17.55,20.9,6627.55,2.27578125,20,0.003,0.5
traincgf,0.0432708333333333,132.75,17.15,16.1,11.75,123.25,233,14.65,18.9,6632.45,2.7828125,20,0.003,0.7
traincgf,0.0382569444444444,131.9,17.15,16.95,13.65,166.55,187.8,12.7,27.2,6626.1,3.39453125,20,0.004,0.1
traincgf,0.0445277777777778,132.4,16.05,17.55,12.95,124.25,230.8,19,24.25,6622.75,2.84609375,20,0.004,0.3
traincgf,0.0447847222222222,134.35,16.45,15.2,13.8,120.15,234.05,17.45,25.5,6623.05,2.41015625,20,0.004,0.5
traincgf,0.0511319444444444,131.5,16.3,18.2,11.2,66.45,290.35,17.8,14.3,6633.9,1.97421875,20,0.004,0.7
traincgf,0.0319861111111111,134.7,15.55,15.75,13.7,208.75,145.55,13.6,26.15,6626.25,4.7375,30,0.001,0.1
traincgf,0.0312291666666667,131.8,17.6,16.6,14.6,217.4,136,12.75,27.3,6625.95,4.07109375,30,0.001,0.3
traincgf,0.0421944444444444,128.35,20.35,17.3,16.15,142.15,209.7,14.7,25.6,6625.7,3.13203125,30,0.001,0.5
traincgf,0.0445138888888889,130.8,15.9,19.3,10.2,112.15,245.65,15.1,14.35,6636.55,3.01015625,30,0.001,0.7
traincgf,0.029875,132.35,18.1,15.55,11.75,223.45,132.8,12,24.9,6629.1,4.47578125,30,0.002,0.1
traincgf,0.031875,133.45,16.6,15.95,16.6,214.75,136.65,11.85,31.85,6622.3,4.2484375,30,0.002,0.3
traincgf,0.0324930555555556,128.6,23.05,14.35,10.7,217.1,140.2,14,31.65,6620.35,3.8375,30,0.002,0.5
traincgf,0.0456736111111111,130.85,17.05,18.1,11.7,109.9,246.4,15.6,20,6630.4,2.871875,30,0.002,0.7
traincgf,0.0320347222222222,130.55,19.8,15.65,11.5,221.15,135.35,14.25,34.1,6617.65,4.5515625,30,0.003,0.1
traincgf,0.0382430555555556,131.7,16.05,18.25,16.65,165.7,185.65,13,25.75,6627.25,3.81796875,30,0.003,0.3
traincgf,0.040875,128.15,20,17.85,11.05,150.35,206.6,13.8,25,6627.2,3.365625,30,0.003,0.5
traincgf,0.0391180555555555,132.65,16.9,16.45,13.6,155.2,199.2,13.05,22.45,6630.5,3.671875,30,0.003,0.7
traincgf,0.0328472222222222,135.75,16.5,13.75,14,204.9,149.1,14.75,28.4,6622.85,4.2703125,30,0.004,0.1
traincgf,0.0402222222222222,132.4,18,15.6,12.1,151.25,204.65,14.1,25.15,6626.75,3.4703125,30,0.004,0.3
traincgf,0.04375,136.5,13.7,15.8,17.05,120.9,230.05,19.15,19.25,6627.6,2.85546875,30,0.004,0.5
traincgf,0.0422222222222222,130.45,17.9,17.65,9.5,130.15,228.35,14.85,15.75,6635.4,3.478125,30,0.004,0.7
traincgf,0.0313680555555555,132,19.25,14.75,10.85,215.3,141.85,13.95,25.2,6626.85,5.21796875,40,0.001,0.1
traincgf,0.032375,132.05,17.65,16.3,13.95,206.25,147.8,13.05,24.35,6628.6,4.39921875,40,0.001,0.3
traincgf,0.0341666666666667,129.45,21.35,15.2,16.1,202.15,149.75,15.1,28.5,6622.4,4.19765625,40,0.001,0.5
traincgf,0.0378888888888889,128.7,20.9,16.4,13.9,168.75,185.35,13.15,23.1,6629.75,4.2640625,40,0.001,0.7
traincgf,0.0264166666666667,133.8,18.1,14.1,12.7,249.5,105.8,12.25,27.25,6626.5,5.5015625,40,0.002,0.1
traincgf,0.0349930555555556,132.2,18.15,15.65,13.15,187.3,167.55,12.95,24.5,6628.55,4.35,40,0.002,0.3
traincgf,0.0338819444444444,127.6,22.05,16.35,11.25,200.95,155.8,11.65,26.85,6627.5,4.14765625,40,0.002,0.5
traincgf,0.0369375,134.8,14.9,16.3,9.05,164.85,194.1,13.3,18.3,6634.4,4.60625,40,0.002,0.7
traincgf,0.0323472222222222,129.35,20.4,16.25,13.4,212.9,141.7,13.6,27.55,6624.85,5.46328125,40,0.003,0.1
traincgf,0.0291111111111111,131.95,19.35,14.7,11.6,236.55,119.85,13.95,30.15,6621.9,5.1109375,40,0.003,0.3
traincgf,0.0329583333333333,133.55,17.55,14.9,12.6,205.1,150.3,15.4,26.55,6624.05,4.465625,40,0.003,0.5
traincgf,0.0393611111111111,125.55,21.35,19.1,7.2,159.2,201.6,14.45,19.7,6631.85,4.35859375,40,0.003,0.7
traincgf,0.0355277777777778,132.45,18.3,15.25,13.15,185.3,169.55,13.6,25.95,6626.45,4.8953125,40,0.004,0.1
traincgf,0.0332013888888889,131.9,18.05,16.05,12.8,202.9,152.3,12.55,27.3,6626.15,4.440625,40,0.004,0.3
traincgf,0.0319097222222222,132.7,16.1,17.2,11.45,216,140.55,12.55,31.9,6621.55,4.509375,40,0.004,0.5
traincgf,0.0350138888888889,130.9,18,17.1,8.05,183.05,176.9,13.05,19,6633.95,4.4015625,40,0.004,0.7
